timestamp,value,created_at
1665116707000,76,1665116716250
1665116587000,95,1665116596550
1665116467000,76,1665116475737
1665116347000,57,1665116356347
1665116227000,58,1665116237211
1665116107000,77,1665116116277
1665115987000,53,1665115996277
1665115867000,73,1665115875531
1665115747000,78,1665115755602
1665115627000,54,1665115637109
1665115507000,56,1665115523722
1665115387000,68,1665115395699
1665115267000,71,1665115275625
1665115147000,64,1665115156524
1665115027000,65,1665115036259
1665114907000,80,1665114916470
1665114787000,63,1665114796323
1665114667000,75,1665114676424
1665114547000,58,1665114556598
1665114426000,58,1665114436208
1665114306000,90,1665114315749
1665114186000,73,1665114195598
1665114066000,82,1665114075520
1665113946000,81,1665113955575
1665113826000,67,1665113836188
1665113706000,60,1665113715521
1665113586000,63,1665113595663
1665113466000,68,1665113475766
1665113346000,63,1665113356355
1665113226000,66,1665113236061
1665113106000,82,1665113115512
1665112986000,58,1665112995686
1665112866000,68,1665112875666
1665112746000,80,1665112755552
1665112626000,87,1665112636164
1665112506000,68,1665112515725
1665112386000,71,1665112395521
1665112266000,56,1665112275560
1665112146000,57,1665112156437
1665112026000,62,1665112035956
1665111906000,64,1665111915620
1665111786000,72,1665111795864
1665111666000,66,1665111676339
1665111546000,67,1665111556267
1665111426000,57,1665111436260
1665111306000,91,1665111315509
1665111186000,76,1665111195442
1665111066000,68,1665111076334
1665110946000,67,1665110956483
1665110826000,66,1665110837063
1665110706000,80,1665110716111
1665110586000,68,1665110595556
1665110466000,76,1665110476166
1665110346000,76,1665110356456
1665110226000,85,1665110235979
1665110106000,75,1665110115767
1665109986000,77,1665109996223
1665109866000,68,1665109876070
1665109746000,76,1665109756142
1665109626000,66,1665109636482
1665109506000,64,1665109515438
1665109386000,73,1665109396306
1665109266000,78,1665109275541
1665109146000,67,1665109155338
1665109026000,70,1665109036141
1665108906000,65,1665108916679
1665108786000,64,1665108795808
1665108666000,58,1665108676218
1665108546000,81,1665108555403
1665108426000,88,1665108441168
1665108306000,74,1665108315353
1665108186000,72,1665108195465
1665108066000,54,1665108075686
1665107946000,45,1665107955554
1665107826000,57,1665107835789
1665107706000,71,1665107715509
1665107586000,81,1665107595378
1665107466000,59,1665107475399
1665107346000,61,1665107355437
1665107226000,64,1665107249316
1665107106000,72,1665107116891
1665106986000,61,1665106996070
1665106866000,66,1665106876224
1665106746000,57,1665106755444
1665106626000,66,1665106635790
1665106506000,74,1665106515603
1665106386000,62,1665106395582
1665106266000,76,1665106275460
1665106146000,61,1665106156190
1665106026000,78,1665106035958
1665105906000,65,1665105915618
1665105786000,76,1665105796041
1665105666000,65,1665105675521
1665105546000,64,1665105556115
1665105426000,75,1665105438233
1665105306000,68,1665105315664
1665105186000,70,1665105196091
1665105066000,62,1665105075902
1665104946000,62,1665104955777
1665104826000,65,1665104836002
1665104706000,63,1665104715392
1665104586000,63,1665104595196
1665104466000,65,1665104476023
1665104346000,69,1665104355976
1665104226000,78,1665104236020
1665104106000,55,1665104115293
1665103986000,58,1665103995766
1665103866000,64,1665103876727
1665103746000,68,1665103755416
1665103626000,73,1665103645113
1665103506000,66,1665103515492
1665103386000,83,1665103395613
1665103266000,64,1665103275501
1665103146000,49,1665103155357
1665103026000,61,1665103035708
1665102906000,68,1665102915313
1665102786000,65,1665102795524
1665102666000,67,1665102675562
1665102546000,68,1665102555450
1665102426000,62,1665102436415
1665102306000,73,1665102316013
1665102186000,67,1665102195977
1665102066000,57,1665102075393
1665101946000,59,1665101955929
1665101826000,55,1665101835615
1665101706000,61,1665101715260
1665101586000,67,1665101595888
1665101466000,73,1665101475364
1665101346000,72,1665101355999
1665101226000,86,1665101235680
1665101106000,56,1665101116119
1665100986000,60,1665100995276
1665100866000,79,1665100875267
1665100746000,73,1665100755478
1665100626000,82,1665100641266
1665100506000,73,1665100516046
1665100386000,69,1665100395264
1665100266000,82,1665100275374
1665100146000,67,1665100155323
1665100026000,75,1665100035728
1665099906000,74,1665099915351
1665099786000,59,1665099795229
1665099666000,76,1665099675234
1665099546000,75,1665099555067
1665099426000,70,1665099435577
1665099306000,53,1665099315696
1665099186000,67,1665099195179
1665099066000,82,1665099075158
1665098946000,69,1665098955276
1665098826000,65,1665098835931
1665098706000,73,1665098715860
1665098586000,72,1665098597463
1665098466000,62,1665098477212
1665098346000,56,1665098354966
1665098226000,71,1665098235455
1665098106000,72,1665098147773
1665097986000,66,1665097995901
1665097866000,61,1665097875488
1665097746000,62,1665097756011
